arc	type	trial_set	pos	date	huge	pattern	locale	heading_rad	species	predator	id	video
40	bar	T21	4	19/06/2016	0	bar 40	Tenerife	5.03	Da	0	na	GOPR4017
40	DoG	T22	1	19/06/2016	0	dog 40	Tenerife	6.16	Da	0	na	GOPR4019
40	DoG	T22	2	19/06/2016	0	dog 40	Tenerife	0.06	Da	0	na	GOPR4019
40	DoG	T22	3	19/06/2016	0	dog 40	Tenerife	0.28	Da	0	na	GOPR4019
40	DoG	T22	4	19/06/2016	0	dog 40	Tenerife	5.87	Da	0	na	GOPR4019
40	DoG	T23	1	19/06/2016	0	dog 40	Tenerife	6.11	Da	0	na	GOPR4020
40	DoG	T23	2	19/06/2016	0	dog 40	Tenerife	5.95	Da	0	na	GOPR4020
40	DoG	T23	3	19/06/2016	0	dog 40	Tenerife	0	Da	0	na	GOPR4020
40	DoG	T23	4	19/06/2016	0	dog 40	Tenerife	5.76	Da	0	na	GOPR4020
40	DoG	T24	1	19/06/2016	0	dog 40	Tenerife	5.77	Da	0	na	GOPR4021
40	DoG	T24	2	19/06/2016	0	dog 40	Tenerife	3.09	Da	0	na	GOPR4021
40	DoG	T24	3	19/06/2016	0	dog 40	Tenerife	2.74	Da	0	na	GOPR4021
40	DoG	T24	4	19/06/2016	0	dog 40	Tenerife	6.14	Da	0	na	GOPR4021
40	DoG	T25	1	19/06/2016	0	dog 40	Tenerife	0.13	Da	0	na	GOPR4022
40	DoG	T25	2	19/06/2016	0	dog 40	Tenerife	0.73	Da	0	na	GOPR4022
40	DoG	T25	3	19/06/2016	0	dog 40	Tenerife	4.04	Da	0	na	GOPR4022
40	DoG	T25	4	19/06/2016	0	dog 40	Tenerife	3.05	Da	0	na	GOPR4022
40	DoG	T26	1	23/06/2016	0	dog 40	Tenerife	5.54	Da	0	na	GOPR4023
40	DoG	T26	2	23/06/2016	0	dog 40	Tenerife	4.12	Da	0	na	GOPR4023
40	DoG	T26	3	23/06/2016	0	dog 40	Tenerife	5.95	Da	0	na	GOPR4023
40	DoG	T26	4	23/06/2016	0	dog 40	Tenerife	6.26	Da	0	na	GOPR4023
90	bar	T27	1	23/06/2016	1	unmissable	Tenerife	2.89	Da	0	na	GOPR0243
90	bar	T27	2	23/06/2016	1	unmissable	Tenerife	0.56	Da	0	na	GOPR0243
90	bar	T27	3	23/06/2016	1	unmissable	Tenerife	5.06	Da	0	na	GOPR0243
90	bar	T27	4	23/06/2016	1	unmissable	Tenerife	5.3	Da	0	na	GOPR0243
90	bar	T28	1	23/06/2016	1	unmissable	Tenerife	4.54	Da	0	na	GOPR0244
90	bar	T28	2	23/06/2016	1	unmissable	Tenerife	5.04	Da	0	na	GOPR0244
90	bar	T28	3	23/06/2016	1	unmissable	Tenerife	4.6	Da	0	na	GOPR0244
90	bar	T28	4	23/06/2016	1	unmissable	Tenerife	6.06	Da	0	na	GOPR0244
90	bar	T29	1	23/06/2016	1	unmissable	Tenerife	1.73	Da	0	na	GOPR0245
90	bar	T29	2	23/06/2016	1	unmissable	Tenerife	1.24	Da	0	na	GOPR0245
90	bar	T29	3	23/06/2016	1	unmissable	Tenerife	5.63	Da	0	na	GOPR0245
90	bar	T29	4	23/06/2016	1	unmissable	Tenerife	3.58	Da	0	na	GOPR0245
90	bar	T30	1	23/06/2016	1	unmissable	Tenerife	5.3	Da	0	na	GOPR0246
90	bar	T30	2	23/06/2016	1	unmissable	Tenerife	5.88	Da	0	na	GOPR0246
90	bar	T30	3	23/06/2016	1	unmissable	Tenerife	1.99	Da	0	na	GOPR0246
90	bar	T30	4	23/06/2016	1	unmissable	Tenerife	1.99	Da	0	na	GOPR0247
90	bar	T31	1	23/06/2016	1	unmissable	Tenerife	3.42	Da	0	na	GOPR0248
90	bar	T31	2	23/06/2016	1	unmissable	Tenerife	3.95	Da	0	na	GOPR0248
90	bar	T31	3	23/06/2016	1	unmissable	Tenerife	2.32	Da	0	na	GOPR0248
90	bar	T31	4	23/06/2016	1	unmissable	Tenerife	4.9	Da	0	na	GOPR0248
90	bar	T32	1	23/06/2016	1	unmissable	Tenerife	5.8	Da	0	na	GOPR0249
90	bar	T32	2	23/06/2016	1	unmissable	Tenerife	5.62	Da	0	na	GOPR0250
90	bar	T32	3	23/06/2016	1	unmissable	Tenerife	2.56	Da	0	na	GOPR0251
90	bar	T32	4	23/06/2016	1	unmissable	Tenerife	1.22	Da	0	na	GOPR0251
0	grey control	T33	1	23/06/2016	0	grey control	Tenerife	0.1	Da	0	na	GOPR0255
0	grey control	T33	2	23/06/2016	0	grey control	Tenerife	1.35	Da	0	na	GOPR0255
0	grey control	T33	3	23/06/2016	0	grey control	Tenerife	0.47	Da	0	na	GOPR0255
0	grey control	T33	4	23/06/2016	0	grey control	Tenerife	1.92	Da	0	na	GOPR0255
0	grey control	T34	1	23/06/2016	0	grey control	Tenerife	5.67	Da	0	na	GOPR0256
0	grey control	T34	2	23/06/2016	0	grey control	Tenerife	0.84	Da	0	na	GOPR0256
0	grey control	T34	3	23/06/2016	0	grey control	Tenerife	1.4	Da	0	na	GOPR0256
0	grey control	T34	4	23/06/2016	0	grey control	Tenerife	3.2	Da	0	na	GOPR0256
40	DoG	T35	1	24/06/2016	0	dog 40	Tenerife	2.02	Da	0	na	GOPR0258
40	DoG	T35	2	24/06/2016	0	dog 40	Tenerife	0.73	Da	0	na	GOPR0258
40	DoG	T35	3	24/06/2016	0	dog 40	Tenerife	4.43	Da	0	na	GOPR0258
40	DoG	T35	4	24/06/2016	0	dog 40	Tenerife	0.91	Da	0	na	GOPR0258
40	DoG	T36	1	24/06/2016	0	dog 40	Tenerife	2.68	Da	0	na	GOPR0261
40	DoG	T36	2	24/06/2016	0	dog 40	Tenerife	1.24	Da	0	na	GOPR0261
40	DoG	T36	3	24/06/2016	0	dog 40	Tenerife	0.14	Da	0	na	GOPR0261
40	DoG	T36	4	24/06/2016	0	dog 40	Tenerife	5.25	Da	0	na	GOPR0261
40	DoG	T37	1	24/06/2016	0	dog 40	Tenerife	1.03	Da	0	na	GOPR0262
40	DoG	T37	2	24/06/2016	0	dog 40	Tenerife	5.8	Da	0	na	GOPR0262
40	DoG	T37	3	24/06/2016	0	dog 40	Tenerife	3.23	Da	0	na	GOPR0262
40	DoG	T37	4	24/06/2016	0	dog 40	Tenerife	4.76	Da	0	na	GOPR0262
